,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Daily Grand Total,"143,101,700",,Monthly Grand Total,"143,101,700",,Annual Grand Total,"142,845,681",,,,,,,
,,,,,,,,,,,,,,
Day,Number of Bicycle Hires,,Month,Number of Bicycle Hires,,Year,Number of Bicycle Hires,,,Month,Average Hire Time (mins),,Against last month,Against last year
25/09/2021,"48,507",,,,,,,,,,,,,
26/09/2021,"45,163",,,,,,,,,,,,,
27/09/2021,"32,180",,,,,,,,,,,,,
28/09/2021,"32,558",,,,,,,,,,,,,
29/09/2021,"39,910",,,,,,,,,,,,,
30/09/2021,"34,095",,,,,,,,,,,,,
01/10/2021,"34,223",,,,,,,,,,,,,
02/10/2021,"17,712",,,,,,,,,,,,,
03/10/2021,"33,745",,,,,,,,,,,,,
04/10/2021,"30,988",,,,,,,,,,,,,
05/10/2021,"34,936",,,,,,,,,,,,,
06/10/2021,"40,846",,,,,,,,,,,,,
07/10/2021,"38,372",,,,,,,,,,,,,
08/10/2021,"37,527",,,,,,,,,,,,,
09/10/2021,"47,877",,,,,,,,,,,,,
10/10/2021,"36,634",,,,,,,,,,,,,
11/10/2021,"36,683",,,,,,,,,,,,,
12/10/2021,"38,469",,,,,,,,,,,,,
13/10/2021,"40,259",,,,,,,,,,,,,
14/10/2021,"40,669",,,,,,,,,,,,,
15/10/2021,"38,265",,,,,,,,,,,,,
16/10/2021,"35,598",,,,,,,,,,,,,
17/10/2021,"34,702",,,,,,,,,,,,,
18/10/2021,"30,787",,,,,,,,,,,,,
19/10/2021,"35,833",,,,,,,,,,,,,
20/10/2021,"34,344",,,,,,,,,,,,,
21/10/2021,"35,898",,,,,,,,,,,,,
22/10/2021,"35,381",,,,,,,,,,,,,
23/10/2021,"38,578",,,,,,,,,,,,,
24/10/2021,"35,165",,,,,,,,,,,,,
25/10/2021,"34,018",,,,,,,,,,,,,
26/10/2021,"38,446",,,,,,,,,,,,,
27/10/2021,"39,679",,,,,,,,,,,,,
28/10/2021,"40,598",,,,,,,,,,,,,
29/10/2021,"30,864",,,,,,,,,,,,,
30/10/2021,"36,270",,,,,,,,,,,,,
31/10/2021,"27,205",,,,,,,,,,,,,
01/11/2021,"32,891",,,,,,,,,,,,,
02/11/2021,"34,906",,,,,,,,,,,,,
03/11/2021,"34,050",,,,,,,,,,,,,
04/11/2021,"33,410",,,,,,,,,,,,,
05/11/2021,"33,000",,,,,,,,,,,,,
06/11/2021,"33,536",,,,,,,,,,,,,
07/11/2021,"29,935",,,,,,,,,,,,,
08/11/2021,"30,945",,,,,,,,,,,,,
09/11/2021,"35,175",,,,,,,,,,,,,
10/11/2021,"29,812",,,,,,,,,,,,,
11/11/2021,"35,799",,,,,,,,,,,,,
12/11/2021,"29,713",,,,,,,,,,,,,
13/11/2021,"35,243",,,,,,,,,,,,,
14/11/2021,"28,777",,,,,,,,,,,,,
15/11/2021,"31,397",,,,,,,,,,,,,
16/11/2021,"34,011",,,,,,,,,,,,,
17/11/2021,"35,489",,,,,,,,,,,,,
18/11/2021,"36,279",,,,,,,,,,,,,
19/11/2021,"34,745",,,,,,,,,,,,,
20/11/2021,"34,225",,,,,,,,,,,,,
21/11/2021,"26,609",,,,,,,,,,,,,
22/11/2021,"29,800",,,,,,,,,,,,,
23/11/2021,"33,569",,,,,,,,,,,,,
24/11/2021,"32,899",,,,,,,,,,,,,
25/11/2021,"32,745",,,,,,,,,,,,,
26/11/2021,"31,557",,,,,,,,,,,,,
27/11/2021,"17,221",,,,,,,,,,,,,
28/11/2021,"20,482",,,,,,,,,,,,,
29/11/2021,"25,340",,,,,,,,,,,,,
30/11/2021,"31,487",,,,,,,,,,,,,
01/12/2021,"28,836",,,,,,,,,,,,,
02/12/2021,"29,801",,,,,,,,,,,,,
03/12/2021,"28,765",,,,,,,,,,,,,
04/12/2021,"27,591",,,,,,,,,,,,,
05/12/2021,"16,162",,,,,,,,,,,,,
06/12/2021,"23,307",,,,,,,,,,,,,
07/12/2021,"23,088",,,,,,,,,,,,,
08/12/2021,"29,512",,,,,,,,,,,,,
09/12/2021,"28,773",,,,,,,,,,,,,
10/12/2021,"28,211",,,,,,,,,,,,,
11/12/2021,"21,616",,,,,,,,,,,,,
12/12/2021,"22,333",,,,,,,,,,,,,
13/12/2021,"25,050",,,,,,,,,,,,,
14/12/2021,"27,602",,,,,,,,,,,,,
15/12/2021,"27,925",,,,,,,,,,,,,
16/12/2021,"26,696",,,,,,,,,,,,,
17/12/2021,"24,646",,,,,,,,,,,,,
18/12/2021,"25,580",,,,,,,,,,,,,
19/12/2021,"17,205",,,,,,,,,,,,,
20/12/2021,"19,404",,,,,,,,,,,,,
21/12/2021,"18,680",,,,,,,,,,,,,
22/12/2021,"17,034",,,,,,,,,,,,,
23/12/2021,"16,372",,,,,,,,,,,,,
24/12/2021,"10,173",,,,,,,,,,,,,
25/12/2021,"15,060",,,,,,,,,,,,,
26/12/2021,"8,239",,,,,,,,,,,,,
27/12/2021,"9,164",,,,,,,,,,,,,
28/12/2021,"13,856",,,,,,,,,,,,,
29/12/2021,"15,437",,,,,,,,,,,,,
30/12/2021,"19,340",,,,,,,,,,,,,
31/12/2021,"21,744",,,,,,,,,,,,,
01/01/2022,"22,811",,,,,,,,,,,,,
02/01/2022,"16,698",,,,,,,,,,,,,
03/01/2022,"19,055",,,,,,,,,,,,,
04/01/2022,"15,300",,,,,,,,,,,,,
05/01/2022,"20,432",,,,,,,,,,,,,
06/01/2022,"17,946",,,,,,,,,,,,,
07/01/2022,"19,742",,,,,,,,,,,,,
08/01/2022,"12,182",,,,,,,,,,,,,
09/01/2022,"21,845",,,,,,,,,,,,,
10/01/2022,"22,074",,,,,,,,,,,,,
11/01/2022,"21,343",,,,,,,,,,,,,
12/01/2022,"26,147",,,,,,,,,,,,,
13/01/2022,"26,386",,,,,,,,,,,,,
14/01/2022,"26,073",,,,,,,,,,,,,
15/01/2022,"26,347",,,,,,,,,,,,,
16/01/2022,"24,162",,,,,,,,,,,,,
17/01/2022,"25,676",,,,,,,,,,,,,
18/01/2022,"26,971",,,,,,,,,,,,,
19/01/2022,"27,576",,,,,,,,,,,,,
20/01/2022,"27,210",,,,,,,,,,,,,
21/01/2022,"25,198",,,,,,,,,,,,,
22/01/2022,"27,996",,,,,,,,,,,,,
23/01/2022,"23,731",,,,,,,,,,,,,
24/01/2022,"25,096",,,,,,,,,,,,,
25/01/2022,"27,184",,,,,,,,,,,,,
26/01/2022,"29,065",,,,,,,,,,,,,
27/01/2022,"29,718",,,,,,,,,,,,,
28/01/2022,"28,182",,,,,,,,,,,,,
29/01/2022,"32,087",,,,,,,,,,,,,
30/01/2022,"27,463",,,,,,,,,,,,,
31/01/2022,"26,806",,,,,,,,,,,,,
01/02/2022,"32,363",,,,,,,,,,,,,
02/02/2022,"32,969",,,,,,,,,,,,,
03/02/2022,"32,512",,,,,,,,,,,,,
04/02/2022,"24,238",,,,,,,,,,,,,
05/02/2022,"29,154",,,,,,,,,,,,,
06/02/2022,"20,944",,,,,,,,,,,,,
07/02/2022,"28,232",,,,,,,,,,,,,
08/02/2022,"32,312",,,,,,,,,,,,,
09/02/2022,"32,442",,,,,,,,,,,,,
10/02/2022,"32,572",,,,,,,,,,,,,
11/02/2022,"29,656",,,,,,,,,,,,,
12/02/2022,"28,800",,,,,,,,,,,,,
13/02/2022,"13,356",,,,,,,,,,,,,
14/02/2022,"23,905",,,,,,,,,,,,,
15/02/2022,"22,197",,,,,,,,,,,,,
16/02/2022,"26,022",,,,,,,,,,,,,
17/02/2022,"29,716",,,,,,,,,,,,,
18/02/2022,"14,463",,,,,,,,,,,,,
19/02/2022,"16,910",,,,,,,,,,,,,
20/02/2022,"15,463",,,,,,,,,,,,,
21/02/2022,"22,928",,,,,,,,,,,,,
22/02/2022,"30,015",,,,,,,,,,,,,
23/02/2022,"32,242",,,,,,,,,,,,,
24/02/2022,"25,250",,,,,,,,,,,,,
25/02/2022,"31,200",,,,,,,,,,,,,
26/02/2022,"33,903",,,,,,,,,,,,,
27/02/2022,"29,669",,,,,,,,,,,,,
28/02/2022,"26,465",,,,,,,,,,,,,
01/03/2022,"37,727",,,,,,,,,,,,,
02/03/2022,"28,298",,,,,,,,,,,,,
03/03/2022,"56,568",,,,,,,,,,,,,
04/03/2022,"31,037",,,,,,,,,,,,,
05/03/2022,"24,237",,,,,,,,,,,,,
06/03/2022,"24,643",,,,,,,,,,,,,
07/03/2022,"28,204",,,,,,,,,,,,,
08/03/2022,"34,238",,,,,,,,,,,,,
09/03/2022,"34,605",,,,,,,,,,,,,
10/03/2022,"37,116",,,,,,,,,,,,,
11/03/2022,"25,296",,,,,,,,,,,,,
12/03/2022,"34,755",,,,,,,,,,,,,
13/03/2022,"22,968",,,,,,,,,,,,,
14/03/2022,"31,111",,,,,,,,,,,,,
15/03/2022,"36,871",,,,,,,,,,,,,
16/03/2022,"23,711",,,,,,,,,,,,,
17/03/2022,"37,252",,,,,,,,,,,,,
18/03/2022,"37,580",,,,,,,,,,,,,
19/03/2022,"39,384",,,,,,,,,,,,,
20/03/2022,"31,699",,,,,,,,,,,,,
21/03/2022,"33,921",,,,,,,,,,,,,
22/03/2022,"39,661",,,,,,,,,,,,,
23/03/2022,"41,285",,,,,,,,,,,,,
24/03/2022,"40,524",,,,,,,,,,,,,
25/03/2022,"40,417",,,,,,,,,,,,,
26/03/2022,"50,812",,,,,,,,,,,,,
27/03/2022,"28,895",,,,,,,,,,,,,
28/03/2022,"32,681",,,,,,,,,,,,,
29/03/2022,"32,672",,,,,,,,,,,,,
30/03/2022,"31,208",,,,,,,,,,,,,
31/03/2022,"27,344",,,,,,,,,,,,,
01/04/2022,"25,630",,,,,,,,,,,,,
02/04/2022,"26,519",,,,,,,,,,,,,
03/04/2022,"26,097",,,,,,,,,,,,,
04/04/2022,"21,227",,,,,,,,,,,,,
05/04/2022,"32,023",,,,,,,,,,,,,
06/04/2022,"25,320",,,,,,,,,,,,,
07/04/2022,"29,307",,,,,,,,,,,,,
08/04/2022,"29,004",,,,,,,,,,,,,
09/04/2022,"33,572",,,,,,,,,,,,,
10/04/2022,"32,452",,,,,,,,,,,,,
11/04/2022,"33,418",,,,,,,,,,,,,
12/04/2022,"35,445",,,,,,,,,,,,,
13/04/2022,"37,019",,,,,,,,,,,,,
14/04/2022,"38,585",,,,,,,,,,,,,
15/04/2022,"43,950",,,,,,,,,,,,,
16/04/2022,"42,937",,,,,,,,,,,,,
17/04/2022,"37,323",,,,,,,,,,,,,
18/04/2022,"35,819",,,,,,,,,,,,,
19/04/2022,"33,604",,,,,,,,,,,,,
20/04/2022,"41,306",,,,,,,,,,,,,
21/04/2022,"41,027",,,,,,,,,,,,,
22/04/2022,"34,123",,,,,,,,,,,,,
23/04/2022,"37,631",,,,,,,,,,,,,
24/04/2022,"38,848",,,,,,,,,,,,,
25/04/2022,"32,014",,,,,,,,,,,,,
26/04/2022,"38,368",,,,,,,,,,,,,
27/04/2022,"35,965",,,,,,,,,,,,,
28/04/2022,"37,081",,,,,,,,,,,,,
29/04/2022,"32,419",,,,,,,,,,,,,
30/04/2022,"43,044",,,,,,,,,,,,,
01/05/2022,"29,733",,,,,,,,,,,,,
02/05/2022,"36,352",,,,,,,,,,,,,
03/05/2022,"37,726",,,,,,,,,,,,,
04/05/2022,"34,515",,,,,,,,,,,,,
05/05/2022,"42,487",,,,,,,,,,,,,
06/05/2022,"41,786",,,,,,,,,,,,,
07/05/2022,"41,649",,,,,,,,,,,,,
08/05/2022,"44,350",,,,,,,,,,,,,
09/05/2022,"37,872",,,,,,,,,,,,,
10/05/2022,"39,427",,,,,,,,,,,,,
11/05/2022,"31,653",,,,,,,,,,,,,
12/05/2022,"41,005",,,,,,,,,,,,,
13/05/2022,"41,129",,,,,,,,,,,,,
14/05/2022,"53,934",,,,,,,,,,,,,
15/05/2022,"22,919",,,,,,,,,,,,,
16/05/2022,"36,720",,,,,,,,,,,,,
17/05/2022,"45,649",,,,,,,,,,,,,
18/05/2022,"44,260",,,,,,,,,,,,,
19/05/2022,"43,893",,,,,,,,,,,,,
20/05/2022,"31,278",,,,,,,,,,,,,
21/05/2022,"46,251",,,,,,,,,,,,,
22/05/2022,"45,820",,,,,,,,,,,,,
23/05/2022,"34,988",,,,,,,,,,,,,
24/05/2022,"33,213",,,,,,,,,,,,,
25/05/2022,"37,459",,,,,,,,,,,,,
26/05/2022,"40,496",,,,,,,,,,,,,
27/05/2022,"44,130",,,,,,,,,,,,,
28/05/2022,"42,005",,,,,,,,,,,,,
29/05/2022,"38,395",,,,,,,,,,,,,
30/05/2022,"30,051",,,,,,,,,,,,,
31/05/2022,"29,909",,,,,,,,,,,,,
01/06/2022,"38,084",,,,,,,,,,,,,
02/06/2022,"45,274",,,,,,,,,,,,,
03/06/2022,"40,537",,,,,,,,,,,,,
04/06/2022,"34,753",,,,,,,,,,,,,
05/06/2022,"23,374",,,,,,,,,,,,,
06/06/2022,"43,421",,,,,,,,,,,,,
07/06/2022,"41,638",,,,,,,,,,,,,
08/06/2022,"41,063",,,,,,,,,,,,,
09/06/2022,"40,021",,,,,,,,,,,,,
10/06/2022,"41,227",,,,,,,,,,,,,
11/06/2022,"45,929",,,,,,,,,,,,,
12/06/2022,"40,639",,,,,,,,,,,,,
13/06/2022,"40,873",,,,,,,,,,,,,
14/06/2022,"46,430",,,,,,,,,,,,,
15/06/2022,"47,586",,,,,,,,,,,,,
16/06/2022,"47,834",,,,,,,,,,,,,
17/06/2022,"49,247",,,,,,,,,,,,,
18/06/2022,"35,305",,,,,,,,,,,,,
19/06/2022,"32,066",,,,,,,,,,,,,
20/06/2022,"43,063",,,,,,,,,,,,,
21/06/2022,"65,326",,,,,,,,,,,,,
22/06/2022,"54,360",,,,,,,,,,,,,
23/06/2022,"43,705",,,,,,,,,,,,,
24/06/2022,"43,120",,,,,,,,,,,,,
25/06/2022,"47,485",,,,,,,,,,,,,
26/06/2022,"42,649",,,,,,,,,,,,,
27/06/2022,"37,252",,,,,,,,,,,,,
28/06/2022,"44,806",,,,,,,,,,,,,
29/06/2022,"41,593",,,,,,,,,,,,,
30/06/2022,"41,520",,,,,,,,,,,,,
01/07/2022,"41,276",,,,,,,,,,,,,
02/07/2022,"42,316",,,,,,,,,,,,,
03/07/2022,"38,719",,,,,,,,,,,,,
04/07/2022,"42,140",,,,,,,,,,,,,
05/07/2022,"44,717",,,,,,,,,,,,,
06/07/2022,"45,401",,,,,,,,,,,,,
07/07/2022,"46,050",,,,,,,,,,,,,
08/07/2022,"44,741",,,,,,,,,,,,,
09/07/2022,"47,058",,,,,,,,,,,,,
10/07/2022,"44,154",,,,,,,,,,,,,
11/07/2022,"42,739",,,,,,,,,,,,,
12/07/2022,"45,037",,,,,,,,,,,,,
13/07/2022,"46,715",,,,,,,,,,,,,
14/07/2022,"46,293",,,,,,,,,,,,,
15/07/2022,"45,023",,,,,,,,,,,,,
16/07/2022,"48,260",,,,,,,,,,,,,
17/07/2022,"40,796",,,,,,,,,,,,,
18/07/2022,"38,798",,,,,,,,,,,,,
19/07/2022,"36,895",,,,,,,,,,,,,
20/07/2022,"42,070",,,,,,,,,,,,,
21/07/2022,"41,430",,,,,,,,,,,,,
22/07/2022,"39,453",,,,,,,,,,,,,
23/07/2022,"43,414",,,,,,,,,,,,,
24/07/2022,"40,175",,,,,,,,,,,,,
25/07/2022,"38,114",,,,,,,,,,,,,
26/07/2022,"41,296",,,,,,,,,,,,,
27/07/2022,"39,282",,,,,,,,,,,,,
28/07/2022,"43,096",,,,,,,,,,,,,
29/07/2022,"41,584",,,,,,,,,,,,,
30/07/2022,"42,718",,,,,,,,,,,,,
31/07/2022,"36,041",,,,,,,,,,,,,
01/08/2022,"39,471",,,,,,,,,,,,,
02/08/2022,"43,885",,,,,,,,,,,,,
03/08/2022,"43,731",,,,,,,,,,,,,
04/08/2022,"43,239",,,,,,,,,,,,,
05/08/2022,"41,383",,,,,,,,,,,,,
06/08/2022,"43,546",,,,,,,,,,,,,
07/08/2022,"40,347",,,,,,,,,,,,,
08/08/2022,"41,602",,,,,,,,,,,,,
09/08/2022,"44,418",,,,,,,,,,,,,
10/08/2022,"44,518",,,,,,,,,,,,,
11/08/2022,"43,132",,,,,,,,,,,,,
12/08/2022,"40,118",,,,,,,,,,,,,
13/08/2022,"42,116",,,,,,,,,,,,,
14/08/2022,"38,252",,,,,,,,,,,,,
15/08/2022,"37,735",,,,,,,,,,,,,
16/08/2022,"36,390",,,,,,,,,,,,,
17/08/2022,"32,093",,,,,,,,,,,,,
18/08/2022,"41,050",,,,,,,,,,,,,
19/08/2022,"66,972",,,,,,,,,,,,,
20/08/2022,"48,010",,,,,,,,,,,,,
21/08/2022,"39,807",,,,,,,,,,,,,
22/08/2022,"38,066",,,,,,,,,,,,,
23/08/2022,"41,519",,,,,,,,,,,,,
24/08/2022,"42,948",,,,,,,,,,,,,
25/08/2022,"24,736",,,,,,,,,,,,,
26/08/2022,"36,636",,,,,,,,,,,,,
27/08/2022,"37,025",,,,,,,,,,,,,
28/08/2022,"35,994",,,,,,,,,,,,,
29/08/2022,"34,262",,,,,,,,,,,,,
30/08/2022,"36,911",,,,,,,,,,,,,
31/08/2022,"40,020",,,,,,,,,,,,,
01/09/2022,"37,781",,,,,,,,,,,,,
02/09/2022,"36,072",,,,,,,,,,,,,
03/09/2022,"37,957",,,,,,,,,,,,,
04/09/2022,"33,863",,,,,,,,,,,,,
05/09/2022,"35,571",,,,,,,,,,,,,
06/09/2022,"34,323",,,,,,,,,,,,,
07/09/2022,"36,468",,,,,,,,,,,,,
08/09/2022,"27,763",,,,,,,,,,,,,
09/09/2022,"30,285",,,,,,,,,,,,,
10/09/2022,0,,,,,,,,,,,,,
11/09/2022,0,,,,,,,,,,,,,
12/09/2022,"22,560",,,,,,,,,,,,,
13/09/2022,"22,967",,,,,,,,,,,,,
14/09/2022,"30,459",,,,,,,,,,,,,
15/09/2022,"29,192",,,,,,,,,,,,,
16/09/2022,"26,532",,,,,,,,,,,,,
17/09/2022,"24,819",,,,,,,,,,,,,
18/09/2022,"22,844",,,,,,,,,,,,,
19/09/2022,"23,197",,,,,,,,,,,,,
20/09/2022,"29,688",,,,,,,,,,,,,
21/09/2022,"31,156",,,,,,,,,,,,,
22/09/2022,"31,360",,,,,,,,,,,,,
23/09/2022,"24,856",,,,,,,,,,,,,
24/09/2022,"25,246",,,,,,,,,,,,,
25/09/2022,"21,402",,,,,,,,,,,,,
26/09/2022,"22,458",,,,,,,,,,,,,
27/09/2022,"25,701",,,,,,,,,,,,,
28/09/2022,"29,470",,,,,,,,,,,,,
29/09/2022,"28,322",,,,,,,,,,,,,
30/09/2022,"18,638",,,,,,,,,,,,,
01/10/2022,"26,895",,,,,,,,,,,,,
02/10/2022,"22,417",,,,,,,,,,,,,
03/10/2022,"28,739",,,,,,,,,,,,,
04/10/2022,"31,355",,,,,,,,,,,,,
05/10/2022,"27,420",,,,,,,,,,,,,
06/10/2022,"32,978",,,,,,,,,,,,,
07/10/2022,"28,071",,,,,,,,,,,,,
08/10/2022,"30,983",,,,,,,,,,,,,
09/10/2022,"25,691",,,,,,,,,,,,,
10/10/2022,"26,070",,,,,,,,,,,,,
11/10/2022,"33,076",,,,,,,,,,,,,
12/10/2022,"28,307",,,,,,,,,,,,,
13/10/2022,"31,433",,,,,,,,,,,,,
14/10/2022,"28,015",,,,,,,,,,,,,
15/10/2022,"26,042",,,,,,,,,,,,,
16/10/2022,"22,793",,,,,,,,,,,,,
17/10/2022,"27,900",,,,,,,,,,,,,
18/10/2022,"32,208",,,,,,,,,,,,,
19/10/2022,"31,765",,,,,,,,,,,,,
20/10/2022,"25,295",,,,,,,,,,,,,
21/10/2022,"25,143",,,,,,,,,,,,,
22/10/2022,"27,676",,,,,,,,,,,,,
23/10/2022,"14,625",,,,,,,,,,,,,
24/10/2022,"26,888",,,,,,,,,,,,,
25/10/2022,"31,397",,,,,,,,,,,,,
26/10/2022,"32,015",,,,,,,,,,,,,
27/10/2022,"31,983",,,,,,,,,,,,,
28/10/2022,"30,083",,,,,,,,,,,,,
29/10/2022,"29,650",,,,,,,,,,,,,
30/10/2022,"20,989",,,,,,,,,,,,,
31/10/2022,"26,467",,,,,,,,,,,,,
01/11/2022,"24,850",,,,,,,,,,,,,
02/11/2022,"27,494",,,,,,,,,,,,,
03/11/2022,"22,601",,,,,,,,,,,,,
04/11/2022,"26,995",,,,,,,,,,,,,
05/11/2022,"16,082",,,,,,,,,,,,,
06/11/2022,"12,392",,,,,,,,,,,,,
07/11/2022,"21,608",,,,,,,,,,,,,
08/11/2022,"24,779",,,,,,,,,,,,,
09/11/2022,"28,454",,,,,,,,,,,,,
10/11/2022,"44,677",,,,,,,,,,,,,
11/11/2022,"30,498",,,,,,,,,,,,,
12/11/2022,"27,228",,,,,,,,,,,,,
13/11/2022,"21,305",,,,,,,,,,,,,
14/11/2022,"27,264",,,,,,,,,,,,,
15/11/2022,"22,414",,,,,,,,,,,,,
16/11/2022,"19,784",,,,,,,,,,,,,
17/11/2022,"23,733",,,,,,,,,,,,,
18/11/2022,"26,442",,,,,,,,,,,,,
19/11/2022,"22,308",,,,,,,,,,,,,
20/11/2022,"16,513",,,,,,,,,,,,,
21/11/2022,"19,990",,,,,,,,,,,,,
22/11/2022,"27,394",,,,,,,,,,,,,
23/11/2022,"24,250",,,,,,,,,,,,,
24/11/2022,"25,170",,,,,,,,,,,,,
25/11/2022,"26,857",,,,,,,,,,,,,
26/11/2022,"22,226",,,,,,,,,,,,,
27/11/2022,"12,985",,,,,,,,,,,,,
28/11/2022,"24,307",,,,,,,,,,,,,
29/11/2022,"27,072",,,,,,,,,,,,,
30/11/2022,"27,884",,,,,,,,,,,,,
01/12/2022,"27,401",,,,,,,,,,,,,
02/12/2022,"23,550",,,,,,,,,,,,,
03/12/2022,"19,139",,,,,,,,,,,,,
04/12/2022,"14,513",,,,,,,,,,,,,
05/12/2022,"23,342",,,,,,,,,,,,,
06/12/2022,"25,860",,,,,,,,,,,,,
07/12/2022,"24,575",,,,,,,,,,,,,
08/12/2022,"22,686",,,,,,,,,,,,,
09/12/2022,"21,496",,,,,,,,,,,,,
10/12/2022,"16,795",,,,,,,,,,,,,
11/12/2022,"9,848",,,,,,,,,,,,,
12/12/2022,"13,351",,,,,,,,,,,,,
13/12/2022,"16,527",,,,,,,,,,,,,
14/12/2022,"16,593",,,,,,,,,,,,,
15/12/2022,"17,166",,,,,,,,,,,,,
16/12/2022,"15,580",,,,,,,,,,,,,
17/12/2022,"13,024",,,,,,,,,,,,,
18/12/2022,"5,853",,,,,,,,,,,,,
19/12/2022,"13,202",,,,,,,,,,,,,
20/12/2022,"18,194",,,,,,,,,,,,,
21/12/2022,"16,661",,,,,,,,,,,,,
22/12/2022,"13,645",,,,,,,,,,,,,
23/12/2022,"9,269",,,,,,,,,,,,,
24/12/2022,"8,291",,,,,,,,,,,,,
25/12/2022,"16,298",,,,,,,,,,,,,
26/12/2022,"7,301",,,,,,,,,,,,,
27/12/2022,"7,002",,,,,,,,,,,,,
28/12/2022,"6,461",,,,,,,,,,,,,
29/12/2022,"11,264",,,,,,,,,,,,,
30/12/2022,"9,327",,,,,,,,,,,,,
31/12/2022,"7,619",,,,,,,,,,,,,
01/01/2023,"10,139",,,,,,,,,,,,,
02/01/2023,"11,695",,,,,,,,,,,,,
03/01/2023,"12,497",,,,,,,,,,,,,
04/01/2023,"16,650",,,,,,,,,,,,,
05/01/2023,"18,493",,,,,,,,,,,,,
06/01/2023,"18,171",,,,,,,,,,,,,
07/01/2023,"12,131",,,,,,,,,,,,,
08/01/2023,"9,263",,,,,,,,,,,,,
09/01/2023,"21,921",,,,,,,,,,,,,
10/01/2023,"17,184",,,,,,,,,,,,,
11/01/2023,"23,001",,,,,,,,,,,,,
12/01/2023,"21,966",,,,,,,,,,,,,
13/01/2023,"21,638",,,,,,,,,,,,,
14/01/2023,"14,227",,,,,,,,,,,,,
15/01/2023,"15,303",,,,,,,,,,,,,
16/01/2023,"19,783",,,,,,,,,,,,,
17/01/2023,"22,254",,,,,,,,,,,,,
18/01/2023,"22,755",,,,,,,,,,,,,
19/01/2023,"22,915",,,,,,,,,,,,,
20/01/2023,"20,272",,,,,,,,,,,,,
21/01/2023,"17,236",,,,,,,,,,,,,
22/01/2023,"14,056",,,,,,,,,,,,,
23/01/2023,"20,458",,,,,,,,,,,,,
24/01/2023,"23,567",,,,,,,,,,,,,
25/01/2023,"20,321",,,,,,,,,,,,,
26/01/2023,"22,319",,,,,,,,,,,,,
27/01/2023,"21,288",,,,,,,,,,,,,
28/01/2023,"17,475",,,,,,,,,,,,,
29/01/2023,"14,276",,,,,,,,,,,,,
30/01/2023,"22,557",,,,,,,,,,,,,
31/01/2023,"25,322",,,,,,,,,,,,,
01/02/2023,"22,585",,,,,,,,,,,,,
02/02/2023,"25,034",,,,,,,,,,,,,
03/02/2023,"22,559",,,,,,,,,,,,,
04/02/2023,"20,058",,,,,,,,,,,,,
05/02/2023,"17,685",,,,,,,,,,,,,
06/02/2023,"23,252",,,,,,,,,,,,,
07/02/2023,"24,642",,,,,,,,,,,,,
08/02/2023,"24,594",,,,,,,,,,,,,
09/02/2023,"25,102",,,,,,,,,,,,,
10/02/2023,"22,001",,,,,,,,,,,,,
11/02/2023,"18,973",,,,,,,,,,,,,
12/02/2023,"16,234",,,,,,,,,,,,,
13/02/2023,"23,135",,,,,,,,,,,,,
14/02/2023,"24,692",,,,,,,,,,,,,
15/02/2023,"24,962",,,,,,,,,,,,,
16/02/2023,"24,128",,,,,,,,,,,,,
17/02/2023,"22,381",,,,,,,,,,,,,
18/02/2023,"18,352",,,,,,,,,,,,,
19/02/2023,"18,961",,,,,,,,,,,,,
20/02/2023,"23,158",,,,,,,,,,,,,
21/02/2023,"25,505",,,,,,,,,,,,,
22/02/2023,"21,067",,,,,,,,,,,,,
23/02/2023,"24,275",,,,,,,,,,,,,
24/02/2023,"21,713",,,,,,,,,,,,,
25/02/2023,"17,754",,,,,,,,,,,,,
26/02/2023,"14,344",,,,,,,,,,,,,
27/02/2023,"21,973",,,,,,,,,,,,,
28/02/2023,"24,206",,,,,,,,,,,,,
01/03/2023,"24,590",,,,,,,,,,,,,
02/03/2023,"25,076",,,,,,,,,,,,,
03/03/2023,"21,714",,,,,,,,,,,,,
04/03/2023,"17,136",,,,,,,,,,,,,
05/03/2023,"13,536",,,,,,,,,,,,,
06/03/2023,"18,509",,,,,,,,,,,,,
07/03/2023,"22,692",,,,,,,,,,,,,
08/03/2023,"12,930",,,,,,,,,,,,,
09/03/2023,"16,466",,,,,,,,,,,,,
10/03/2023,"16,908",,,,,,,,,,,,,
11/03/2023,"16,110",,,,,,,,,,,,,
12/03/2023,"15,161",,,,,,,,,,,,,
13/03/2023,"20,996",,,,,,,,,,,,,
14/03/2023,"22,602",,,,,,,,,,,,,
15/03/2023,"35,319",,,,,,,,,,,,,
16/03/2023,"25,403",,,,,,,,,,,,,
17/03/2023,"20,555",,,,,,,,,,,,,
18/03/2023,"17,470",,,,,,,,,,,,,
19/03/2023,"16,549",,,,,,,,,,,,,
20/03/2023,"21,543",,,,,,,,,,,,,
21/03/2023,"26,474",,,,,,,,,,,,,
22/03/2023,"24,920",,,,,,,,,,,,,
23/03/2023,"22,781",,,,,,,,,,,,,
24/03/2023,"19,171",,,,,,,,,,,,,
25/03/2023,"20,778",,,,,,,,,,,,,
26/03/2023,"11,915",,,,,,,,,,,,,
27/03/2023,"24,102",,,,,,,,,,,,,
28/03/2023,"19,949",,,,,,,,,,,,,
29/03/2023,"22,309",,,,,,,,,,,,,
30/03/2023,"24,147",,,,,,,,,,,,,
